cosmopolitan,指人因见多识广而到哪里都悠然自得的,familiar with and at ease in many different countries and cultures,"his knowledge of French, Italian, and Spanish made him genuinely cosmopolitan."
clamorous,,making a loud and confused noise,
intransigent,指人固执己见的,characterized by refusal to compromise or to abandon an extreme,
numinous,神圣的,,"the strange, numinous beauty of this ancient landmark."
sterling,(某人的努力成果/人格)优秀的,"(of a person or their work, efforts, or qualities) excellent or valuable",this organization does sterling work for youngsters.
ad hoc,特别的/临时形成针对…的,"formed, arranged, or done for a particular purpose only",an ad hoc committee (亚人委员会)
enigma,指人/事物：神秘的，困惑的，难以理解的,"a person or thing that is mysterious, puzzling, or difficult to understand.",
neutralized,使之无效/使不能正常运作,render (something) ineffective or harmless by applying an opposite force or effect,impatience at his frailty began to neutralize her fear.
fickle,善变的(贬义，指兴趣/忠诚变化无端),,"Web patrons are a notoriously fickle lot, bouncing from one site to another on a whim"
partiality,偏袒(某人或某事),unfair bias in favor of one thing or person compared with another,an attack on the partiality of judges
singular,极好的,exceptionally good or great,the singular beauty of the desert.
epilogue,收场白,a section or speech at the end of a book or play that serves as a comment on or a conclusion to what has happened.,
imminent,即将到来的,happening very soon,
prescient,有先见之明的,having or showing knowledge of events before they take place: a prescient warning.,
apathetic,没有兴趣的,"showing or feeling no interest, enthusiasm, or concern",apathetic slackers who don't vote.
didactic,(以道德教导为目的)说教的；像教师一样的patronizing别人的,,with one side lower or smaller than the other: a lopsided grin.
lopsided,不平衡的，不公平的,with one side lower or smaller than the other,
repertoire,全部曲目,the whole body of items that are regularly performed: the mainstream concert repertoire.,
tease apart,梳理,disentangle,The researchers who engage in this type of work do their absolute best to tease apart these factors.
