vocabulary,chinese
cosmopolitan,指人因见多识广而到哪里都不会因陌生而感到害怕 (懂得世上很多复杂关系的)
clamorous,指一群人：极度吵闹的。
intransigent,指人不为所动的，固执己见的
numinous,指宗教：神圣的（物品或场地）
sterling,(某人的努力成果/人格)优秀的
ad hoc,特别针对…的
enigma,指人/事物：神秘的，困惑的，难以理解的
neutralized,使之无效/使不能正常运作
fickle,指人/天气/命运：being fickle: 善变的 贬义，指兴趣/忠诚：变化无端
partiality over,偏袒(某人或某事) =bias=favortism
singular,独一无二的（褒义）= one of its kind = excellent
epilogue,收场白，小说的尾声
imminent,即将到来的
prescient,指人（评论员，分析师，专家）及他们说的话：有先见之明的
apathetic,没有兴趣的
didactic,(以道德教导为目的)说教的；像教师一样的patronizing别人的
lopsided,不平衡的，不公平的
repertoire,全部曲目
tease apart,梳理
negotiate,"2. 成功越过 If you negotiate an area of land, a place, or an obstacle, you successfully travel"
brook,古英语：容忍，忍受
beneficence,热于助人的品质 =kindness=generosity
regurgitate,复习之前背过的材料
sanguine,乐观态度
irascible,易怒而大打出手的（通常带有侵略性的行为）
convivial,特指与人在一起而感到欢快的
downplay,某人出于某个目的而故意表现出低估／看低的态度
inconsequential,不重要的，无严重后果的
incinerator,焚化炉
emulate,通过模仿手段来超越他人
censure,猛烈地抨击
demanding,工作或任务：费时费力的
sift from,筛选
overshadow,(指负面情感)给...蒙上一层阴影
zealot,宗教／明星／球队／爱好：狂热分子
maze,错综复杂的事物
elicit,引出，得出
extensive,广泛的，大量的
culinary,与烹饪有关的
groudless,毫无根据的
detritus,残留的碎片(石砾) =debris
anomalous,任何事物：不正常的
haphazard,随意地被安排
monolithic,一大坨匀质的 指社会结构：因压迫而单一的（贬义）
mar,v. 搞糟，毁容
grandstanding,作出夸张行为而获得他人称赞的行为，动词 vi. grandstand
contagious,有感染力的，易于引发同感的
irk,某物打扰某人
tendentious,指文章，观点：有倾向性的，有立场性的
discursive,=digress：离题的（写作风格）；以事实为论据基础的（学术论文）
blemish,小瑕疵
patchwork,指衣物：被多种材料缝缝补补的； 指理论／语句：混杂多种思想的
fractious,指人不听管教的，容易发火的；指某个事物：带来很多麻烦的，难以处理的 =cranky=rebellious
affable,热心肠的，容易亲近的 =genial=gracious=hospitable
overarching,核心的，主要的(目标／观点)
heterogeneous,异质的
disparate,截然不同的
engaging,迷人的；有趣的 =entertaining=interesting
unfeeling,无同情心的
disingenuous,=insincere不真诚的
embody,包含，收录
nothing if not,极其=very
disorienting,=confusing
humble,社会地位低下的=insignificant
empower,授权；给予力量
calamitous,灾难的
diametrically,截然相反的
trifling,微不足道的
deleterious,有害的是
incommensurable,由于缺乏共同的特征而无法比较的
commensurate,adj. 在某方面相似的
at variance,争论，不和
comity,国家之间的友好融洽的氛围 comity of nations
eliminate,淘汰
mordancy,(黑色幽默)讽刺性的
shy away from…,因紧张，不安而躲避某事
neutral,(颜色，人格)无明显特征的，不动声色的
oust,指新事物替代原事物
belie,(指某个事实/信息)背叛了另一个已知事实
undue,不恰当的，不公正的
marvel,"=be amazed at, to wonder at 对某个事实感到惊讶"
tactful,(指为人处事)说话有分寸的，能以恰当的方式表达自己观点的
fungible,(特指钱币或货物) 可被替代的
diffuse,分散四处的，无凝聚的；指文学作品：啰嗦的；宣传某个思想／文化
spared,v. 给予某人某物(通常是受惠者已有的)；饶恕，宽赦某人；spare oneself 沉迷..无法自拔 ；因某个原因停止做某事／说某话 adj. 多余的（钱或资源）；朴素的，简朴的
deaden,削弱，减弱（某人的热情，药物的效力，）
forbear,主动抑制自己不去做某事  = stop doing
forbids,禁止他人做某事
boorish,（正式书面英语）指人：粗俗的
revolting,=disgusting （physical）恶心的; (non physical)令人反感的
conspicuous,特别明显的
dispense,=distribute分发 dispense…with … 抛弃某物
obscure,指人：不出名的 指知识或者信息／故事：未知的或难以理解的 
marked,突出的，显著的
blithe,欢乐而无忧无虑的（贬义）
catalyst,刺激因素
duplicitous,言行不一的；（欺骗）内在和外在不一的
adduce…to do,引用论据/证明/事实/证人支持论点
momentous,褒义：重大的（成就／事件）
precarious,=unstable 不稳定的
innocuous,人畜无害的
betray,某人不经意间流露出（真实感情）
expel,开除学籍；从...里面排出某物
parallel,相似的，类似的
scant,某人不经意间流露出（真实感情） 
administer,=be in charge of 主持某一场(宗教)活动或项目； =apply medication to sb
all the more,
precipitate,引发某件事情突然发生（令人措手不及）
malady,疾病
proclaim,正式宣布
antediluvian,(幽默感) 极其古老／落后的
disown,某人与另一人断交
flighty,=fickle-minded 指人：轻浮的，性格／思想：变化无常的；指马：无法预测的亢奋
capricious,指人或天气：变化多端的
loquacious,指人：啰哩啰嗦的，说个不停的（贬义）
burlesque,带讽刺／夸大的滑稽剧
envisage,想象某个尚未发生的事情
pastiche,指复制并混杂其他作品风格的艺术作品
parody,带有讽刺的模仿（他人的动作）
chronide,
clandestine,暗中进行的政治／间谍活动
apropos,
straits,
cagey,指人：精明而谨慎的
churlish,指人：做事鲁莽的，粗俗的
pretense,acting on pretense = pretending
arduous,需要极其努力才能完成的工作／过程
stave off,防止某事发生，防御某人
punctilious,一丝不苟的
mundane,平庸的，世俗的
evanescent,转瞬即逝的
skullduggery,指言语：欺骗性的
insouciant,指人无所顾虑的
limpid,指溪流：清澈见底的 指语言：通俗易懂的
disperse,让一群人散开
megalomania,角逐权力和金钱的自大狂
imperturbable,指人：不易被激动的; 稳得一逼
divulge,泄露某人的秘密
premeditate,提前安排做某事
overwrought,极度情绪化的
conflate,将两个思想／故事／文章拼合在一起
compunction,悔恨，后悔
portend,预示（某个重大/严重）事件的发生
offset,抵消某个效应／结果的发生
murky,含糊不清的
dour,=sullen 面色阴沉的
mirthful,"=amusement 欢快的, mirthful laughter"
jovial,欢乐而且开心的
tepid,不太热情的
lugubrious,=gloomy=mournful 极度悲伤的
forbearance from,克己
lucidity,1. (思想、风格等的)明晰，明白，清楚 clearness of thought or style
expedient,（通常指行为或计划）权宜但不一定合适的
dictum,正式公告
taxing,费力的，繁重的
meander,指一场演讲：漫无目的地进行着
anomalous,
hamstring,使无能为力 to make ineffective or powerless : cripple
bighearted,不小气的；大方的
manic,~maniac = lost one’s mind 狂躁的
inflammatory,指演讲：煽动性的
pedestrian,缺乏想象力的，无聊的
gloomy,=pessimistic =悲伤且绝望的
puerile,指人或某个事物：显得幼稚的
usage,单词的用法，意义
sober,指衣服颜色：单调的 指人的神态表情：严肃且清醒的
deject,=depress，注意区分和reject的区别
coddle,
excoriate,过度的责骂／批评
mollify,使某人的怒火平息下来
fallibility,易错性
hew to,遵从（传统／思想）
override,=reject，利用个人权力去取消某一个决策
obsequious,奉承的
veil,掩饰
acquiescence,勉强同意某人做某事，尽管不完全认同
veneration,对于某人或某物的尊重
detestation,厌烦+憎恨
sidestep,避免（正面回答某个问题或某个义务）
circumvent,(贬义)通过小聪明来绕过某个限制
mien,
impute to,归罪于
supplant,篡位
slant,=biased；带有色眼镜地去报道／陈述
supersede,代替
ponderous,由于沉重而显得笨拙的（步伐）
manifest,（某人通过行为或外表）表现出（一种品质或感觉，例如depression)
undercut,削弱，破坏 以比对手低廉的价格来打败商业对手
palpable,特指气氛或感情：强烈到几乎可触摸的
